Strategy,Total,Pit in Laps
2-stop S→S→H   ,87:23.289,"[3, 49]"
2-stop S→S→H   ,87:23.289,"[46, 49]"
2-stop S→H→S   ,87:23.289,"[3, 20]"
2-stop S→H→S   ,87:23.289,"[46, 63]"
2-stop M→H→H   ,87:23.289,"[12, 14]"
2-stop M→H→H   ,87:23.289,"[12, 64]"
2-stop H→S→S   ,87:23.289,"[17, 20]"
2-stop H→S→S   ,87:23.289,"[17, 63]"
2-stop H→M→H   ,87:23.289,"[2, 14]"
2-stop H→M→H   ,87:23.289,"[52, 64]"
2-stop H→H→M   ,87:23.289,"[2, 54]"
2-stop H→H→M   ,87:23.289,"[52, 54]"
2-stop S→M→H   ,87:23.318,"[2, 13]"
2-stop S→H→M   ,87:23.318,"[2, 55]"
2-stop M→S→H   ,87:23.318,"[11, 13]"
2-stop M→H→S   ,87:23.318,"[11, 64]"
2-stop H→S→M   ,87:23.318,"[53, 55]"
2-stop H→M→S   ,87:23.318,"[53, 64]"
2-stop S→M→H   ,87:23.342,"[2, 49]"
2-stop S→H→M   ,87:23.342,"[2, 19]"
2-stop M→S→H   ,87:23.342,"[47, 49]"
2-stop M→H→S   ,87:23.342,"[47, 64]"
2-stop H→S→M   ,87:23.342,"[17, 19]"
2-stop H→M→S   ,87:23.342,"[17, 64]"
2-stop S→S→H   ,87:23.378,"[14, 63]"
2-stop S→S→H   ,87:23.378,"[49, 63]"
2-stop S→H→S   ,87:23.378,"[14, 17]"
2-stop S→H→S   ,87:23.378,"[49, 52]"
2-stop H→S→S   ,87:23.378,"[3, 17]"
2-stop H→S→S   ,87:23.378,"[3, 52]"
2-stop S→M→M   ,87:23.386,"[47, 48]"
2-stop S→M→M   ,87:23.386,"[47, 65]"
2-stop M→S→M   ,87:23.386,"[1, 48]"
2-stop M→S→M   ,87:23.386,"[18, 65]"
2-stop M→M→S   ,87:23.386,"[1, 19]"
2-stop M→M→S   ,87:23.386,"[18, 19]"
2-stop S→M→H   ,87:23.389,"[9, 59]"
2-stop S→H→M   ,87:23.389,"[9, 16]"
2-stop M→S→H   ,87:23.389,"[50, 59]"
2-stop M→H→S   ,87:23.389,"[50, 57]"
2-stop H→S→M   ,87:23.389,"[7, 16]"
2-stop H→M→S   ,87:23.389,"[7, 57]"
2-stop S→S→H   ,87:23.399,"[9, 57]"
2-stop S→S→H   ,87:23.399,"[48, 57]"
2-stop S→H→S   ,87:23.399,"[9, 18]"
2-stop S→H→S   ,87:23.399,"[48, 57]"
2-stop H→S→S   ,87:23.399,"[9, 18]"
2-stop H→S→S   ,87:23.399,"[9, 57]"
2-stop S→M→H   ,87:23.412,"[10, 11]"
2-stop S→H→M   ,87:23.412,"[10, 65]"
2-stop M→S→H   ,87:23.412,"[1, 11]"
2-stop M→H→S   ,87:23.412,"[1, 56]"
2-stop H→S→M   ,87:23.412,"[55, 65]"
2-stop H→M→S   ,87:23.412,"[55, 56]"
2-stop S→M→H   ,87:23.419,"[13, 64]"
2-stop S→H→M   ,87:23.419,"[13, 15]"
2-stop M→S→H   ,87:23.419,"[51, 64]"
2-stop M→H→S   ,87:23.419,"[51, 53]"
2-stop H→S→M   ,87:23.419,"[2, 15]"
2-stop H→M→S   ,87:23.419,"[2, 53]"
2-stop S→H→H   ,87:23.419,"[4, 14]"
2-stop S→H→H   ,87:23.419,"[4, 56]"
2-stop H→S→H   ,87:23.419,"[10, 14]"
2-stop H→S→H   ,87:23.419,"[52, 56]"
2-stop H→H→S   ,87:23.419,"[10, 62]"
2-stop H→H→S   ,87:23.419,"[52, 62]"
2-stop M→H→H   ,87:23.425,"[11, 14]"
2-stop M→H→H   ,87:23.425,"[11, 63]"
2-stop H→M→H   ,87:23.425,"[3, 14]"
2-stop H→M→H   ,87:23.425,"[52, 63]"
2-stop H→H→M   ,87:23.425,"[3, 55]"
2-stop H→H→M   ,87:23.425,"[52, 55]"
2-stop S→S→M   ,87:23.490,"[10, 59]"
2-stop S→S→M   ,87:23.490,"[49, 59]"
2-stop S→M→S   ,87:23.490,"[10, 17]"
2-stop S→M→S   ,87:23.490,"[49, 56]"
2-stop M→S→S   ,87:23.490,"[7, 17]"
2-stop M→S→S   ,87:23.490,"[7, 56]"
2-stop S→S→M   ,87:23.505,"[4, 52]"
2-stop S→S→M   ,87:23.505,"[48, 52]"
2-stop S→M→S   ,87:23.505,"[4, 18]"
2-stop S→M→S   ,87:23.505,"[48, 62]"
2-stop M→S→S   ,87:23.505,"[14, 18]"
2-stop M→S→S   ,87:23.505,"[14, 62]"
2-stop M→H→H   ,87:23.509,"[46, 47]"
2-stop M→H→H   ,87:23.509,"[46, 65]"
2-stop H→M→H   ,87:23.509,"[1, 47]"
2-stop H→M→H   ,87:23.509,"[19, 65]"
2-stop H→H→M   ,87:23.509,"[1, 20]"
2-stop H→H→M   ,87:23.509,"[19, 20]"
2-stop S→M→H   ,87:23.510,"[6, 55]"
2-stop S→H→M   ,87:23.510,"[6, 17]"
2-stop M→S→H   ,87:23.510,"[49, 55]"
2-stop M→H→S   ,87:23.510,"[49, 60]"
2-stop H→S→M   ,87:23.510,"[11, 17]"
2-stop H→M→S   ,87:23.510,"[11, 60]"
2-stop S→M→M   ,87:23.522,"[10, 15]"
2-stop S→M→M   ,87:23.522,"[10, 61]"
2-stop M→S→M   ,87:23.522,"[5, 15]"
2-stop M→S→M   ,87:23.522,"[51, 61]"
2-stop M→M→S   ,87:23.522,"[5, 56]"
2-stop M→M→S   ,87:23.522,"[51, 56]"
2-stop M→M→H   ,87:23.565,"[8, 56]"
2-stop M→M→H   ,87:23.565,"[48, 56]"
2-stop M→H→M   ,87:23.565,"[8, 18]"
2-stop M→H→M   ,87:23.565,"[48, 58]"
2-stop H→M→M   ,87:23.565,"[10, 18]"
2-stop H→M→M   ,87:23.565,"[10, 58]"
2-stop S→M→H   ,87:23.597,"[45, 46]"
2-stop S→H→M   ,87:23.597,"[45, 65]"
2-stop M→S→H   ,87:23.597,"[1, 46]"
2-stop M→H→S   ,87:23.597,"[1, 21]"
2-stop H→S→M   ,87:23.597,"[20, 65]"
2-stop H→M→S   ,87:23.597,"[20, 21]"
2-stop S→H→H   ,87:23.601,"[45, 47]"
2-stop S→H→H   ,87:23.601,"[45, 64]"
2-stop H→S→H   ,87:23.601,"[2, 47]"
2-stop H→S→H   ,87:23.601,"[19, 64]"
2-stop H→H→S   ,87:23.601,"[2, 21]"
2-stop H→H→S   ,87:23.601,"[19, 21]"
2-stop M→H→H   ,87:23.611,"[10, 14]"
2-stop M→H→H   ,87:23.611,"[10, 62]"
2-stop H→M→H   ,87:23.611,"[4, 14]"
2-stop H→M→H   ,87:23.611,"[52, 62]"
2-stop H→H→M   ,87:23.611,"[4, 56]"
2-stop H→H→M   ,87:23.611,"[52, 56]"
2-stop M→H→H   ,87:23.647,"[5, 15]"
2-stop M→H→H   ,87:23.647,"[5, 56]"
2-stop H→M→H   ,87:23.647,"[10, 15]"
2-stop H→M→H   ,87:23.647,"[51, 56]"
2-stop H→H→M   ,87:23.647,"[10, 61]"
2-stop H→H→M   ,87:23.647,"[51, 61]"
2-stop S→M→H   ,87:23.725,"[9, 11]"
2-stop S→H→M   ,87:23.725,"[9, 64]"
2-stop M→S→H   ,87:23.725,"[2, 11]"
2-stop M→H→S   ,87:23.725,"[2, 57]"
2-stop H→S→M   ,87:23.725,"[55, 64]"
2-stop H→M→S   ,87:23.725,"[55, 57]"
2-stop S→M→H   ,87:23.728,"[47, 63]"
2-stop S→H→M   ,87:23.728,"[47, 50]"
2-stop M→S→H   ,87:23.728,"[16, 63]"
2-stop M→H→S   ,87:23.728,"[16, 19]"
2-stop H→S→M   ,87:23.728,"[3, 50]"
2-stop H→M→S   ,87:23.728,"[3, 19]"
2-stop S→M→H   ,87:23.732,"[47, 64]"
2-stop S→H→M   ,87:23.732,"[47, 49]"
2-stop M→S→H   ,87:23.732,"[17, 64]"
2-stop M→H→S   ,87:23.732,"[17, 19]"
2-stop H→S→M   ,87:23.732,"[2, 49]"
2-stop H→M→S   ,87:23.732,"[2, 19]"
2-stop S→M→M   ,87:23.735,"[1, 17]"
2-stop S→M→M   ,87:23.735,"[1, 50]"
2-stop M→S→M   ,87:23.735,"[16, 17]"
2-stop M→S→M   ,87:23.735,"[49, 50]"
2-stop M→M→S   ,87:23.735,"[16, 65]"
2-stop M→M→S   ,87:23.735,"[49, 65]"
2-stop S→M→H   ,87:23.774,"[47, 62]"
2-stop S→H→M   ,87:23.774,"[47, 51]"
2-stop M→S→H   ,87:23.774,"[15, 62]"
2-stop M→H→S   ,87:23.774,"[15, 19]"
2-stop H→S→M   ,87:23.774,"[4, 51]"
2-stop H→M→S   ,87:23.774,"[4, 19]"
2-stop S→M→H   ,87:23.782,"[46, 51]"
2-stop S→H→M   ,87:23.782,"[46, 61]"
2-stop M→S→H   ,87:23.782,"[5, 51]"
2-stop M→H→S   ,87:23.782,"[5, 20]"
2-stop H→S→M   ,87:23.782,"[15, 61]"
2-stop H→M→S   ,87:23.782,"[15, 20]"
2-stop S→M→H   ,87:23.786,"[47, 65]"
2-stop S→H→M   ,87:23.786,"[47, 48]"
2-stop M→S→H   ,87:23.786,"[18, 65]"
2-stop M→H→S   ,87:23.786,"[18, 19]"
2-stop H→S→M   ,87:23.786,"[1, 48]"
2-stop H→M→S   ,87:23.786,"[1, 19]"
2-stop S→H→H   ,87:23.812,"[10, 11]"
2-stop S→H→H   ,87:23.812,"[10, 65]"
2-stop H→S→H   ,87:23.812,"[1, 11]"
2-stop H→S→H   ,87:23.812,"[55, 65]"
2-stop H→H→S   ,87:23.812,"[1, 56]"
2-stop H→H→S   ,87:23.812,"[55, 56]"
2-stop M→M→H   ,87:23.839,"[3, 50]"
2-stop M→M→H   ,87:23.839,"[47, 50]"
2-stop M→H→M   ,87:23.839,"[3, 19]"
2-stop M→H→M   ,87:23.839,"[47, 63]"
2-stop H→M→M   ,87:23.839,"[16, 19]"
2-stop H→M→M   ,87:23.839,"[16, 63]"
2-stop M→H→H   ,87:23.847,"[2, 16]"
2-stop M→H→H   ,87:23.847,"[2, 52]"
2-stop M→H→H   ,87:23.847,"[9, 14]"
2-stop M→H→H   ,87:23.847,"[9, 61]"
2-stop H→M→H   ,87:23.847,"[5, 14]"
2-stop H→M→H   ,87:23.847,"[14, 16]"
2-stop H→M→H   ,87:23.847,"[50, 52]"
2-stop H→M→H   ,87:23.847,"[52, 61]"
2-stop H→H→M   ,87:23.847,"[5, 57]"
2-stop H→H→M   ,87:23.847,"[14, 64]"
2-stop H→H→M   ,87:23.847,"[50, 64]"
2-stop H→H→M   ,87:23.847,"[52, 57]"
2-stop S→M→H   ,87:23.870,"[47, 61]"
2-stop S→H→M   ,87:23.870,"[47, 52]"
2-stop M→S→H   ,87:23.870,"[14, 61]"
2-stop M→H→S   ,87:23.870,"[14, 19]"
2-stop H→S→M   ,87:23.870,"[5, 52]"
2-stop H→M→S   ,87:23.870,"[5, 19]"
2-stop S→M→M   ,87:23.925,"[4, 16]"
2-stop S→M→M   ,87:23.925,"[4, 54]"
2-stop M→S→M   ,87:23.925,"[12, 16]"
2-stop M→S→M   ,87:23.925,"[50, 54]"
2-stop M→M→S   ,87:23.925,"[12, 62]"
2-stop M→M→S   ,87:23.925,"[50, 62]"
2-stop S→H→H   ,87:23.927,"[1, 16]"
2-stop S→H→H   ,87:23.927,"[1, 51]"
2-stop H→S→H   ,87:23.927,"[15, 16]"
2-stop H→S→H   ,87:23.927,"[50, 51]"
2-stop H→H→S   ,87:23.927,"[15, 65]"
2-stop H→H→S   ,87:23.927,"[50, 65]"
2-stop S→M→H   ,87:23.943,"[4, 12]"
2-stop S→H→M   ,87:23.943,"[4, 58]"
2-stop M→S→H   ,87:23.943,"[8, 12]"
2-stop M→H→S   ,87:23.943,"[8, 62]"
2-stop H→S→M   ,87:23.943,"[54, 58]"
2-stop H→M→S   ,87:23.943,"[54, 62]"
2-stop S→M→M   ,87:23.947,"[9, 15]"
2-stop S→M→M   ,87:23.947,"[9, 60]"
2-stop M→S→M   ,87:23.947,"[6, 15]"
2-stop M→S→M   ,87:23.947,"[51, 60]"
2-stop M→M→S   ,87:23.947,"[6, 57]"
2-stop M→M→S   ,87:23.947,"[51, 57]"
2-stop M→M→H   ,87:23.951,"[6, 13]"
2-stop M→M→H   ,87:23.951,"[7, 13]"
2-stop M→H→M   ,87:23.951,"[6, 59]"
2-stop M→H→M   ,87:23.951,"[7, 60]"
2-stop H→M→M   ,87:23.951,"[53, 59]"
2-stop H→M→M   ,87:23.951,"[53, 60]"
2-stop S→S→M   ,87:23.971,"[9, 58]"
2-stop S→S→M   ,87:23.971,"[49, 58]"
2-stop S→M→S   ,87:23.971,"[9, 17]"
2-stop S→M→S   ,87:23.971,"[49, 57]"
2-stop M→S→S   ,87:23.971,"[8, 17]"
2-stop M→S→S   ,87:23.971,"[8, 57]"
2-stop S→S→H   ,87:23.989,"[13, 62]"
2-stop S→S→H   ,87:23.989,"[49, 62]"
2-stop S→H→S   ,87:23.989,"[13, 17]"
2-stop S→H→S   ,87:23.989,"[49, 53]"
2-stop M→M→H   ,87:23.989,"[7, 55]"
2-stop M→M→H   ,87:23.989,"[48, 55]"
2-stop M→H→M   ,87:23.989,"[7, 18]"
2-stop M→H→M   ,87:23.989,"[48, 59]"
2-stop H→S→S   ,87:23.989,"[4, 17]"
2-stop H→S→S   ,87:23.989,"[4, 53]"
2-stop H→M→M   ,87:23.989,"[11, 18]"
2-stop H→M→M   ,87:23.989,"[11, 59]"
2-stop S→H→H   ,87:23.997,"[45, 46]"
2-stop S→H→H   ,87:23.997,"[45, 65]"
2-stop H→S→H   ,87:23.997,"[1, 46]"
2-stop H→S→H   ,87:23.997,"[20, 65]"
2-stop H→H→S   ,87:23.997,"[1, 21]"
2-stop H→H→S   ,87:23.997,"[20, 21]"
2-stop M→M→H   ,87:24.007,"[5, 13]"
2-stop M→M→H   ,87:24.007,"[8, 13]"
2-stop M→H→M   ,87:24.007,"[5, 58]"
2-stop M→H→M   ,87:24.007,"[8, 61]"
2-stop H→M→M   ,87:24.007,"[53, 58]"
2-stop H→M→M   ,87:24.007,"[53, 61]"
2-stop S→M→H   ,87:24.016,"[47, 60]"
2-stop S→H→M   ,87:24.016,"[47, 53]"
2-stop M→S→H   ,87:24.016,"[13, 60]"
2-stop M→H→S   ,87:24.016,"[13, 19]"
2-stop H→S→M   ,87:24.016,"[6, 53]"
2-stop H→M→S   ,87:24.016,"[6, 19]"
1-stop S→M     ,87:24.025,[52]
1-stop M→S     ,87:24.025,[14]
2-stop S→M→H   ,87:24.043,"[12, 63]"
2-stop S→H→M   ,87:24.043,"[12, 15]"
2-stop M→S→H   ,87:24.043,"[51, 63]"
2-stop M→H→S   ,87:24.043,"[51, 54]"
2-stop H→S→M   ,87:24.043,"[3, 15]"
2-stop H→M→S   ,87:24.043,"[3, 54]"
2-stop S→S→H   ,87:24.054,"[5, 52]"
2-stop S→S→H   ,87:24.054,"[47, 52]"
2-stop S→H→S   ,87:24.054,"[5, 19]"
2-stop S→H→S   ,87:24.054,"[47, 61]"
2-stop H→S→S   ,87:24.054,"[14, 19]"
2-stop H→S→S   ,87:24.054,"[14, 61]"
2-stop M→H→H   ,87:24.097,"[47, 56]"
2-stop M→H→H   ,87:24.097,"[47, 57]"
2-stop H→M→H   ,87:24.097,"[9, 56]"
2-stop H→M→H   ,87:24.097,"[10, 57]"
2-stop H→H→M   ,87:24.097,"[9, 19]"
2-stop H→H→M   ,87:24.097,"[10, 19]"
2-stop S→M→H   ,87:24.101,"[8, 11]"
2-stop S→H→M   ,87:24.101,"[8, 63]"
2-stop M→S→H   ,87:24.101,"[3, 11]"
2-stop M→H→S   ,87:24.101,"[3, 58]"
2-stop H→S→M   ,87:24.101,"[55, 63]"
2-stop H→M→S   ,87:24.101,"[55, 58]"
2-stop S→H→H   ,87:24.104,"[7, 12]"
2-stop S→H→H   ,87:24.104,"[7, 61]"
2-stop H→S→H   ,87:24.104,"[5, 12]"
2-stop H→S→H   ,87:24.104,"[54, 61]"
2-stop H→H→S   ,87:24.104,"[5, 59]"
2-stop H→H→S   ,87:24.104,"[54, 59]"
2-stop S→H→H   ,87:24.109,"[5, 13]"
2-stop S→H→H   ,87:24.109,"[5, 58]"
2-stop H→S→H   ,87:24.109,"[8, 13]"
2-stop H→S→H   ,87:24.109,"[53, 58]"
2-stop H→H→S   ,87:24.109,"[8, 61]"
2-stop H→H→S   ,87:24.109,"[53, 61]"
2-stop M→M→H   ,87:24.119,"[4, 13]"
2-stop M→M→H   ,87:24.119,"[9, 13]"
2-stop M→H→M   ,87:24.119,"[4, 57]"
2-stop M→H→M   ,87:24.119,"[9, 62]"
2-stop H→M→M   ,87:24.119,"[53, 57]"
2-stop H→M→M   ,87:24.119,"[53, 62]"
2-stop S→H→H   ,87:24.128,"[2, 15]"
2-stop S→H→H   ,87:24.128,"[2, 53]"
2-stop H→S→H   ,87:24.128,"[13, 15]"
2-stop H→S→H   ,87:24.128,"[51, 53]"
2-stop H→H→S   ,87:24.128,"[13, 64]"
2-stop H→H→S   ,87:24.128,"[51, 64]"
2-stop M→H→H   ,87:24.133,"[8, 14]"
2-stop M→H→H   ,87:24.133,"[8, 60]"
2-stop H→M→H   ,87:24.133,"[6, 14]"
2-stop H→M→H   ,87:24.133,"[52, 60]"
2-stop H→H→M   ,87:24.133,"[6, 58]"
2-stop H→H→M   ,87:24.133,"[52, 58]"
2-stop M→H→H   ,87:24.141,"[47, 55]"
2-stop M→H→H   ,87:24.141,"[47, 58]"
2-stop H→M→H   ,87:24.141,"[8, 55]"
2-stop H→M→H   ,87:24.141,"[11, 58]"
2-stop H→H→M   ,87:24.141,"[8, 19]"
2-stop H→H→M   ,87:24.141,"[11, 19]"
2-stop M→H→H   ,87:24.155,"[4, 15]"
2-stop M→H→H   ,87:24.155,"[4, 55]"
2-stop H→M→H   ,87:24.155,"[11, 15]"
2-stop H→M→H   ,87:24.155,"[51, 55]"
2-stop H→H→M   ,87:24.155,"[11, 62]"
2-stop H→H→M   ,87:24.155,"[51, 62]"
2-stop S→M→H   ,87:24.191,"[1, 13]"
2-stop S→H→M   ,87:24.191,"[1, 54]"
2-stop M→S→H   ,87:24.191,"[12, 13]"
2-stop M→H→S   ,87:24.191,"[12, 65]"
2-stop H→S→M   ,87:24.191,"[53, 54]"
2-stop H→M→S   ,87:24.191,"[53, 65]"
2-stop S→M→H   ,87:24.212,"[47, 59]"
2-stop S→H→M   ,87:24.212,"[47, 54]"
2-stop M→S→H   ,87:24.212,"[12, 59]"
2-stop M→H→S   ,87:24.212,"[12, 19]"
2-stop H→S→M   ,87:24.212,"[7, 54]"
2-stop H→M→S   ,87:24.212,"[7, 19]"
2-stop M→H→H   ,87:24.229,"[47, 54]"
2-stop M→H→H   ,87:24.229,"[47, 59]"
2-stop H→M→H   ,87:24.229,"[7, 54]"
2-stop H→M→H   ,87:24.229,"[12, 59]"
2-stop H→H→M   ,87:24.229,"[7, 19]"
2-stop H→H→M   ,87:24.229,"[12, 19]"
2-stop S→S→M   ,87:24.245,"[7, 14]"
2-stop S→M→S   ,87:24.245,"[7, 59]"
2-stop M→S→S   ,87:24.245,"[52, 59]"
2-stop S→M→H   ,87:24.263,"[8, 58]"
2-stop S→H→M   ,87:24.263,"[8, 16]"
2-stop M→S→H   ,87:24.263,"[50, 58]"
2-stop M→H→S   ,87:24.263,"[50, 58]"
2-stop H→S→M   ,87:24.263,"[8, 16]"
2-stop H→M→S   ,87:24.263,"[8, 58]"
2-stop S→S→M   ,87:24.280,"[6, 14]"
2-stop S→S→M   ,87:24.280,"[8, 14]"
2-stop S→M→S   ,87:24.280,"[6, 58]"
2-stop S→M→S   ,87:24.280,"[8, 60]"
2-stop M→S→S   ,87:24.280,"[52, 58]"
2-stop M→S→S   ,87:24.280,"[52, 60]"
2-stop M→M→H   ,87:24.287,"[3, 13]"
2-stop M→M→H   ,87:24.287,"[10, 13]"
2-stop M→H→M   ,87:24.287,"[3, 56]"
2-stop M→H→M   ,87:24.287,"[10, 63]"
2-stop H→M→M   ,87:24.287,"[53, 56]"
2-stop H→M→M   ,87:24.287,"[53, 63]"
2-stop S→S→H   ,87:24.317,"[8, 56]"
2-stop S→S→H   ,87:24.317,"[48, 56]"
2-stop S→H→S   ,87:24.317,"[8, 18]"
2-stop S→H→S   ,87:24.317,"[48, 58]"
2-stop H→S→S   ,87:24.317,"[10, 18]"
2-stop H→S→S   ,87:24.317,"[10, 58]"
2-stop M→H→H   ,87:24.361,"[47, 53]"
2-stop M→H→H   ,87:24.361,"[47, 60]"
2-stop H→M→H   ,87:24.361,"[6, 53]"
2-stop H→M→H   ,87:24.361,"[13, 60]"
2-stop H→H→M   ,87:24.361,"[6, 19]"
2-stop H→H→M   ,87:24.361,"[13, 19]"
2-stop S→S→M   ,87:24.385,"[5, 14]"
2-stop S→S→M   ,87:24.385,"[9, 14]"
2-stop S→M→S   ,87:24.385,"[5, 57]"
2-stop S→M→S   ,87:24.385,"[9, 61]"
2-stop M→S→S   ,87:24.385,"[52, 57]"
2-stop M→S→S   ,87:24.385,"[52, 61]"
2-stop S→S→M   ,87:24.392,"[48, 51]"
2-stop S→M→S   ,87:24.392,"[3, 18]"
2-stop S→M→S   ,87:24.392,"[48, 63]"
2-stop M→S→S   ,87:24.392,"[15, 18]"
2-stop S→S→M   ,87:24.392,"[3, 51]"
2-stop M→S→S   ,87:24.392,"[15, 63]"
2-stop S→M→H   ,87:24.400,"[46, 50]"
2-stop S→H→M   ,87:24.400,"[46, 62]"
2-stop M→S→H   ,87:24.400,"[4, 50]"
2-stop M→H→S   ,87:24.400,"[4, 20]"
2-stop H→S→M   ,87:24.400,"[16, 62]"
2-stop H→M→S   ,87:24.400,"[16, 20]"
2-stop S→M→H   ,87:24.406,"[3, 51]"
2-stop S→H→M   ,87:24.406,"[3, 18]"
2-stop M→S→H   ,87:24.406,"[48, 51]"
2-stop M→H→S   ,87:24.406,"[48, 63]"
2-stop H→S→M   ,87:24.406,"[15, 18]"
2-stop H→M→S   ,87:24.406,"[15, 63]"
2-stop S→M→M   ,87:24.435,"[8, 15]"
2-stop S→M→M   ,87:24.435,"[8, 59]"
2-stop M→S→M   ,87:24.435,"[7, 15]"
2-stop M→S→M   ,87:24.435,"[51, 59]"
2-stop M→M→S   ,87:24.435,"[7, 58]"
2-stop M→M→S   ,87:24.435,"[51, 58]"
2-stop S→M→H   ,87:24.458,"[47, 58]"
2-stop S→H→M   ,87:24.458,"[47, 55]"
2-stop M→S→H   ,87:24.458,"[11, 58]"
2-stop M→H→S   ,87:24.458,"[11, 19]"
2-stop H→S→M   ,87:24.458,"[8, 55]"
2-stop H→M→S   ,87:24.458,"[8, 19]"
2-stop M→M→H   ,87:24.463,"[6, 54]"
2-stop M→M→H   ,87:24.463,"[48, 54]"
2-stop M→H→M   ,87:24.463,"[6, 18]"
2-stop M→H→M   ,87:24.463,"[48, 60]"
2-stop H→M→M   ,87:24.463,"[12, 18]"
2-stop H→M→M   ,87:24.463,"[12, 60]"
2-stop M→H→H   ,87:24.469,"[7, 14]"
2-stop M→H→H   ,87:24.469,"[7, 59]"
2-stop H→M→H   ,87:24.469,"[7, 14]"
2-stop H→M→H   ,87:24.469,"[52, 59]"
2-stop H→H→M   ,87:24.469,"[7, 59]"
2-stop H→H→M   ,87:24.469,"[52, 59]"
2-stop M→M→H   ,87:24.511,"[2, 13]"
2-stop M→M→H   ,87:24.511,"[11, 13]"
2-stop M→H→M   ,87:24.511,"[2, 55]"
2-stop M→H→M   ,87:24.511,"[11, 64]"
2-stop H→M→M   ,87:24.511,"[53, 55]"
2-stop H→M→M   ,87:24.511,"[53, 64]"
2-stop S→S→M   ,87:24.515,"[8, 57]"
2-stop S→S→M   ,87:24.515,"[49, 57]"
2-stop S→M→S   ,87:24.515,"[8, 17]"
2-stop S→M→S   ,87:24.515,"[49, 58]"
2-stop M→S→S   ,87:24.515,"[9, 17]"
2-stop M→S→S   ,87:24.515,"[9, 58]"
2-stop S→H→H   ,87:24.519,"[9, 11]"
2-stop S→H→H   ,87:24.519,"[9, 64]"
2-stop H→S→H   ,87:24.519,"[2, 11]"
2-stop H→S→H   ,87:24.519,"[55, 64]"
2-stop H→H→S   ,87:24.519,"[2, 57]"
2-stop H→H→S   ,87:24.519,"[55, 57]"
2-stop M→H→H   ,87:24.527,"[1, 16]"
2-stop M→H→H   ,87:24.527,"[1, 51]"
2-stop H→M→H   ,87:24.527,"[15, 16]"
2-stop H→M→H   ,87:24.527,"[50, 51]"
2-stop H→H→M   ,87:24.527,"[15, 65]"
2-stop H→H→M   ,87:24.527,"[50, 65]"
2-stop S→H→H   ,87:24.534,"[3, 14]"
2-stop S→H→H   ,87:24.534,"[3, 55]"
2-stop H→S→H   ,87:24.534,"[11, 14]"
2-stop H→S→H   ,87:24.534,"[52, 55]"
2-stop H→H→S   ,87:24.534,"[11, 63]"
2-stop H→H→S   ,87:24.534,"[52, 63]"
2-stop M→M→H   ,87:24.535,"[2, 49]"
2-stop M→M→H   ,87:24.535,"[47, 49]"
2-stop M→H→M   ,87:24.535,"[2, 19]"
2-stop M→H→M   ,87:24.535,"[47, 64]"
2-stop H→M→M   ,87:24.535,"[17, 19]"
2-stop H→M→M   ,87:24.535,"[17, 64]"
2-stop M→H→H   ,87:24.537,"[47, 52]"
2-stop M→H→H   ,87:24.537,"[47, 61]"
2-stop H→M→H   ,87:24.537,"[5, 52]"
2-stop H→M→H   ,87:24.537,"[14, 61]"
2-stop H→H→M   ,87:24.537,"[5, 19]"
2-stop H→H→M   ,87:24.537,"[14, 19]"
2-stop S→M→H   ,87:24.540,"[7, 11]"
2-stop S→H→M   ,87:24.540,"[7, 62]"
2-stop M→S→H   ,87:24.540,"[4, 11]"
2-stop M→H→S   ,87:24.540,"[4, 59]"
2-stop H→S→M   ,87:24.540,"[55, 62]"
2-stop H→M→S   ,87:24.540,"[55, 59]"
2-stop S→S→M   ,87:24.560,"[4, 14]"
2-stop S→S→M   ,87:24.560,"[10, 14]"
2-stop S→M→S   ,87:24.560,"[4, 56]"
2-stop S→M→S   ,87:24.560,"[10, 62]"
2-stop M→S→S   ,87:24.560,"[52, 56]"
2-stop M→S→S   ,87:24.560,"[52, 62]"
2-stop S→M→H   ,87:24.577,"[5, 54]"
2-stop S→H→M   ,87:24.577,"[5, 17]"
2-stop M→S→H   ,87:24.577,"[49, 54]"
2-stop M→H→S   ,87:24.577,"[49, 61]"
2-stop H→S→M   ,87:24.577,"[12, 17]"
2-stop H→M→S   ,87:24.577,"[12, 61]"
2-stop S→S→H   ,87:24.593,"[2, 48]"
2-stop S→S→H   ,87:24.593,"[46, 48]"
2-stop S→H→S   ,87:24.593,"[2, 20]"
2-stop S→H→S   ,87:24.593,"[46, 64]"
2-stop H→S→S   ,87:24.593,"[18, 20]"
2-stop H→S→S   ,87:24.593,"[18, 64]"
2-stop S→S→H   ,87:24.657,"[12, 61]"
2-stop S→S→H   ,87:24.657,"[49, 61]"
2-stop S→H→S   ,87:24.657,"[12, 17]"
2-stop S→H→S   ,87:24.657,"[49, 54]"
2-stop H→S→S   ,87:24.657,"[5, 17]"
2-stop H→S→S   ,87:24.657,"[5, 54]"
2-stop S→M→H   ,87:24.662,"[3, 12]"
2-stop S→H→M   ,87:24.662,"[3, 57]"
2-stop M→S→H   ,87:24.662,"[9, 12]"
2-stop M→H→S   ,87:24.662,"[9, 63]"
2-stop H→S→M   ,87:24.662,"[54, 57]"
2-stop H→M→S   ,87:24.662,"[54, 63]"
2-stop S→M→H   ,87:24.681,"[1, 48]"
2-stop S→H→M   ,87:24.681,"[1, 19]"
2-stop M→S→H   ,87:24.681,"[47, 48]"
